cell_type,degree,matmult_time,num_cells,num_dofs,num_procs,parloop_time,problem,tsfc_mode
cube,1,2.964686761299769,37529008,37935261,12,2.9484774177273114,poisson,coffee
cube,2,1.8332944373289743,4944828,39980127,12,1.8190619513392448,poisson,coffee
cube,3,1.792899454633395,1170240,31958602,12,1.7800122439861297,poisson,coffee
cube,4,1.9501241087913512,385392,24975625,12,1.9387841547528903,poisson,coffee
cube,5,2.1049589703480405,154629,19591936,12,2.096316623687744,poisson,coffee
cube,6,2.6255521977941196,71424,15652945,12,2.6198499555389088,poisson,coffee
cube,7,2.92513068318367,36414,12688236,12,2.920075715581576,poisson,coffee
cube,8,5.435527373850346,20328,10587529,12,5.430455192923546,poisson,coffee
cube,9,6.859445089101792,11900,8828092,12,6.855521188179652,poisson,coffee
cube,10,7.746702990929285,7440,7582491,12,7.742693458000819,poisson,coffee
cube,11,7.497450682520866,4732,6424782,12,7.494538481036822,poisson,coffee
cube,12,10.538730293512344,3174,5601217,12,10.535350784659386,poisson,coffee
cube,13,1.3400093192855518,220,509328,12,1.339598889152209,poisson,coffe
cube,1,0.29411122103532156,375069,1182720,12,0.29349808196226757,hyperelasticity,coffee
cube,2,0.3400394489367803,49280,1241757,12,0.3394412522514661,hyperelasticity,coffee
cube,3,0.45792132019996645,11664,998004,12,0.4573828970392545,hyperelasticity,coffee
cube,4,0.6524939919511478,3900,795375,12,0.652032116552194,hyperelasticity,coffee
cube,5,0.8246486812829972,1530,610428,12,0.8242662936449051,hyperelasticity,coffee
cube,6,1.061004830400149,720,503139,12,1.0606375257174174,hyperelasticity,coffee
cube,7,1.4392490605513255,363,401544,12,1.4389054829875627,hyperelasticity,coffee
cube,8,1.65835250467062,200,334611,12,1.6580251346031825,hyperelasticity,coffee
cube,1,0.072539022564888,280000,871428,12,0.07207841724157334,curl_curl,coffee
cube,2,0.09417461156845093,37128,924058,12,0.09368756711483002,curl_curl,coffee
cube,3,0.14597839911778768,8928,751446,12,0.14558814068635303,curl_curl,coffee
cube,4,0.14528460204601287,2898,580520,12,0.14493189801772435,curl_curl,coffee
cube,5,0.21929248770078022,1156,454940,12,0.21895860234896342,curl_curl,coffee
cube,6,0.47683069556951524,546,372924,12,0.47650926262140275,curl_curl,coffee
cube,7,0.8817146922151248,264,289275,12,0.8814220562577247,curl_curl,coffee
cube,8,0.6415798395872117,160,260768,12,0.641299898425738,curl_curl,coffee
cube,9,0.5565266112486521,90,214668,12,0.5562522043784459,curl_curl,coffee
cube,1,0.08618719428777695,280000,871428,12,0.08571041971445084,curl_curl,coffee
cube,2,0.08028588245312372,37128,924058,12,0.07979286710421245,curl_curl,coffee
cube,3,0.1463677962621053,8928,751446,12,0.14594951967398326,curl_curl,coffee
cube,4,0.14487520804007847,2898,580520,12,0.14452242950598398,curl_curl,coffee
cube,5,0.22069899241129556,1156,454940,12,0.22035571932792664,curl_curl,coffee
cube,6,0.4550006945927938,546,372924,12,0.45467212597529094,curl_curl,coffee
cube,7,0.8682067230343818,264,289275,12,0.867916173239549,curl_curl,coffee
cube,8,0.6590236668785413,160,260768,12,0.6587427824735641,curl_curl,coffee
cube,9,0.6388009741902352,90,214668,12,0.63854052623113,curl_curl,coffee
cube,1,0.07320137917995453,280000,871428,12,0.0727666437625885,curl_curl,coffee
cube,2,0.07970079878966013,37128,924058,12,0.0792407696445783,curl_curl,coffee
cube,3,0.14644899666309358,8928,751446,12,0.14604516277710597,curl_curl,coffee
cube,4,0.14518420100212098,2898,580520,12,0.144831520318985,curl_curl,coffee
cube,5,0.220902090271314,1156,454940,12,0.22056643764177958,curl_curl,coffee
cube,6,0.4666670739650726,546,372924,12,0.4663412148753802,curl_curl,coffee
cube,7,0.8540420283873876,264,289275,12,0.8537556444605191,curl_curl,coffee
cube,8,0.6292480652530988,160,260768,12,0.6289659063021342,curl_curl,coffee
cube,9,0.6346117873986562,90,214668,12,0.6343475803732872,curl_curl,coffee
