cell_type,degree,matvec_time,num_cells,num_dofs,num_procs,problem,tsfc_mode
simplex,1,0.12973219255606333,4691126,14378940,12,stokes_momentum,spectral
simplex,2,0.15505839784940084,274400,6771087,12,stokes_momentum,spectral
simplex,3,0.13339514980713527,36414,3059364,12,stokes_momentum,spectral
simplex,4,0.11356143156687419,7680,1545291,12,stokes_momentum,spectral
simplex,1,0.02619196077187856,938700,2921850,12,elasticity,spectral
simplex,2,0.030848169326782228,54752,1378377,12,elasticity,spectral
simplex,3,0.027937904993693034,7440,641550,12,elasticity,spectral
simplex,4,0.02266406367222468,1530,317331,12,elasticity,spectral
cube,1,0.05612424711386363,9362012,9523200,12,poisson,spectral
cube,2,0.058801975846290586,546875,4473071,12,poisson,spectral
cube,3,0.04987506220738093,73710,2048200,12,poisson,spectral
cube,4,0.03957899957895279,15210,1010609,12,poisson,spectral
cube,5,0.034968748191992444,4368,570636,12,poisson,spectral
cube,6,0.029487928748130797,1444,330625,12,poisson,spectral
cube,7,0.028599206606547037,585,214544,12,poisson,spectral
cube,1,0.11412650148073832,18746064,19001853,12,mass_gll,spectral
cube,2,0.11770225514968237,1095120,8915179,12,mass_gll,spectral
cube,3,0.09951364944378535,147177,4065040,12,mass_gll,spectral
cube,4,0.07973581403493882,30576,2015113,12,mass_gll,spectral
cube,5,0.06692016472419103,8448,1095766,12,mass_gll,spectral
cube,6,0.05828037112951279,2904,654493,12,mass_gll,spectral
cube,7,0.052971018850803374,1152,416179,12,mass_gll,spectral
cube,1,0.05523044864336649,9362012,9523200,12,poisson_gll,spectral
cube,2,0.05897674560546875,546875,4473071,12,poisson_gll,spectral
cube,3,0.050056989987691244,73710,2048200,12,poisson_gll,spectral
cube,4,0.03956717054049174,15210,1010609,12,poisson_gll,spectral
cube,5,0.0352788378794988,4368,570636,12,poisson_gll,spectral
cube,6,0.02902226597070694,1444,330625,12,poisson_gll,spectral
cube,7,0.027336533864339194,585,214544,12,poisson_gll,spectral
cube,1,0.03365179200967153,938700,2921850,12,hyperelasticity,spectral
cube,2,0.04319398800532023,54752,1378377,12,hyperelasticity,spectral
cube,3,0.039801596601804094,7440,641550,12,hyperelasticity,spectral
cube,4,0.03598169585069021,1530,317331,12,hyperelasticity,spectral
cube,5,0.03210446685552597,429,177408,12,hyperelasticity,spectral
cube,6,0.029099391400814058,144,105105,12,hyperelasticity,spectral
cube,7,0.027172713975111642,56,68400,12,hyperelasticity,spectral
cube,1,0.019813583791255952,938700,2886257,12,curl_curl,spectral
cube,2,0.026764923830827077,54752,1356666,12,curl_curl,spectral
cube,3,0.026028956472873687,7440,628371,12,curl_curl,spectral
cube,4,0.02388159284989039,1530,309312,12,curl_curl,spectral
cube,5,0.02199658453464508,429,171760,12,curl_curl,spectral
cube,6,0.020251004894574483,144,101058,12,curl_curl,spectral
cube,7,0.01928362399339676,56,64694,12,curl_curl,spectral
